ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead,CreditProduct_No,CreditProduct_Yes,IsActive_No,IsActive_Yes
NNVBBKZB,Female,73,RG268,Other,X3,43.0,No,1045696,No,0,1.0,0.0,1.0,0.0
IDD62UNG,Female,30,RG277,Salaried,X1,32.0,No,581988,No,0,1.0,0.0,1.0,0.0
HD3DSEMC,Female,56,RG268,Self_Employed,X3,26.0,No,1484315,Yes,0,1.0,0.0,0.0,1.0
BF3NC7KV,Male,34,RG270,Salaried,X1,19.0,No,470454,No,0,1.0,0.0,1.0,0.0
TEASRWXV,Female,30,RG282,Salaried,X1,33.0,No,886787,No,0,1.0,0.0,1.0,0.0
ACUTYTWS,Male,56,RG261,Self_Employed,X1,32.0,No,544163,Yes,0,1.0,0.0,0.0,1.0
ETQCZFEJ,Male,62,RG282,Other,X3,20.0,No,1056750,Yes,1,1.0,0.0,0.0,1.0
JJNJUQMQ,Female,48,RG265,Self_Employed,X3,13.0,No,444724,Yes,0,1.0,0.0,0.0,1.0
ZMQFYKCB,Female,40,RG283,Self_Employed,X2,38.0,No,1274284,No,0,1.0,0.0,1.0,0.0
NVKTFBA2,Female,55,RG268,Self_Employed,X2,49.0,Yes,2014239,No,0,0.0,1.0,1.0,0.0
NVC424KZ,Male,53,RG254,Self_Employed,X3,123.0,No,980664,Yes,0,1.0,0.0,0.0,1.0
GZ5TMYIR,Male,27,RG270,Self_Employed,X1,14.0,Yes,502787,No,0,0.0,1.0,1.0,0.0
FCPEEIY3,Female,27,RG277,Salaried,X1,20.0,No,811591,Yes,0,1.0,0.0,0.0,1.0
KCE7JSFN,Male,31,RG254,Salaried,X1,31.0,Yes,938754,No,0,0.0,1.0,1.0,0.0
EMEEHHBK,Male,79,RG277,Other,X3,57.0,No,832185,Yes,0,1.0,0.0,0.0,1.0
UJ2NJKKL,Male,33,RG268,Self_Employed,X2,69.0,No,517063,Yes,1,1.0,0.0,0.0,1.0
CNGSPYWS,Female,46,RG268,Other,X3,97.0,Yes,2282502,No,1,0.0,1.0,1.0,0.0
VH7NBNNQ,Female,59,RG283,Other,X3,15.0,Yes,2384692,No,1,0.0,1.0,1.0,0.0
HDNJXDWC,Female,65,RG277,Other,X2,20.0,No,341573,Yes,0,1.0,0.0,0.0,1.0
BDOKI4CP,Female,37,RG269,Other,X1,63.0,No,633484,Yes,0,1.0,0.0,0.0,1.0
7PMYNWB3,Male,44,RG269,Self_Employed,X2,19.0,Yes,1001650,No,1,0.0,1.0,1.0,0.0
6JXEYFTS,Male,27,RG257,Salaried,X1,21.0,No,1239342,No,0,1.0,0.0,1.0,0.0
NRZGJBV6,Female,32,RG279,Salaried,X1,26.0,No,1339779,Yes,0,1.0,0.0,0.0,1.0
WWIFTDEZ,Male,50,RG280,Self_Employed,X3,99.0,No,887330,Yes,0,1.0,0.0,0.0,1.0
J7TXC9PM,Female,31,RG282,Salaried,X1,33.0,No,396806,No,0,1.0,0.0,1.0,0.0
