year,score,votes,budget,gross,runtime
1980,8.4,927000,19000000.0,46998.772000000004,146
1980,5.8,65000,4500000.0,58853.106,104
1980,8.7,1200000,18000000.0,538375.067,124
1980,7.7,221000,3500000.0,83453.539,88
1980,7.3,108000,6000000.0,39846.344,98
1980,6.4,123000,550000.0,39754.601,95
1980,7.9,188000,27000000.0,115229.89,133
1980,8.2,330000,18000000.0,23402.427,129
1980,6.8,101000,54000000.0,108185.706,127
1980,7.0,10000,10000000.0,15795.189,100
1980,6.1,18000,15000000.0,70687.344,116
1980,7.3,54000,5000000.0,30031.783,109
1980,5.3,30000,20000000.0,49823.037000000004,114
1980,7.7,49000,6000000.0,54766.923,124
1980,7.1,37000,6500000.0,31899.0,104
1980,7.2,27000,5100000.0,9709.597,103
1980,6.6,21000,,21202.829,134
1980,6.9,29000,10000000.0,103300.686,109
1980,6.8,66000,1000000.0,21448.782,89
1980,6.8,26000,,101300.0,111
1980,6.5,20000,11000000.0,19814.523,102
1980,6.8,14000,44000000.0,3484.523,219
1980,6.7,22000,12000000.0,16647.8,103
1980,5.3,12000,20000000.0,22762.571,96
1980,6.4,14000,,46918.287000000004,132
1980,6.9,33000,,19853.892,102
1980,6.5,5100,,34326.249,96
1980,5.0,4100,36000000.0,,115
1980,7.2,17000,9000000.0,37121.708,131
1980,6.2,22000,4800000.0,22743.674,117
1980,7.1,8900,,22482.952,102
1980,5.4,16000,,14796.236,92
1980,5.3,15000,,66132.626,100
1980,6.1,604,5100000.0,534.816,97
1980,6.7,9100,,43995.918,102
1980,6.2,24000,10000000.0,69847.348,109
1980,6.3,4300,4000000.0,10000.0,91
1980,6.0,11000,3000000.0,6342.668000000001,101
1980,5.9,4000,,27118.0,115
1980,7.5,17000,,67182.787,124
1980,6.3,5700,,5000.0,84
1980,7.9,13000,,,107
1980,7.1,9000,3500000.0,7063.886,131
1980,6.6,11000,,6659.377,99
1980,4.8,2000,,8415.112000000001,101
1980,6.1,12000,,41675.194,99
1980,5.3,3900,22000000.0,15716.828,109
1980,4.6,3900,300000.0,,82
1980,5.1,3100,15000000.0,14662.035,94
1980,8.3,15000,35000000.0,,173
1980,7.3,22000,10000000.0,10389.003,89
1980,6.8,4500,7000000.0,4309.49,95
1980,4.2,3700,20000000.0,,124
1980,6.1,11000,6500000.0,24265.659,116
1980,7.0,6700,,12.516,139
1980,6.7,2900,,,91
1980,4.6,2600,20000000.0,3763.9880000000003,121
1980,5.4,2400,6000000.0,6216.067,103
1980,5.1,5200,4000000.0,18971.0,103
1980,5.3,2400,11000000.0,,97
1980,5.0,5300,,18000.0,100
1980,6.7,1900,,14287.755000000001,123
1980,5.5,875,,,91
1980,6.3,1400,,17815.212,119
1980,7.3,2800,,3910.0190000000002,103
1980,6.3,2000,,7653.061000000001,93
1980,8.1,12000,900000.0,,150
1980,5.1,2000,,10697.276,100
1980,6.6,915,,9870.727,86
1980,6.0,1500,,15934.737000000001,98
1980,4.7,1800,,14155.617,103
1980,7.3,2900,,2013.193,75
1980,5.5,965,,5215.015,97
1980,5.2,1100,,4226.37,106
1980,5.5,585,,2086.905,112
1980,5.8,1300,6000000.0,11000.0,97
1980,6.3,1400,,6321.392,103
1980,5.9,415,5500000.0,4400.0,115
1980,7.4,1300,,109.749,95
1980,6.9,1000,3000000.0,,108
1980,4.0,546,5100000.0,59.167,94
1980,4.8,643,,2128.395,96
1980,5.2,351,,2806.659,97
1980,7.9,4800,,167.451,83
1980,5.2,2100,,14504.277,94
1980,6.5,269,,804.713,105
1980,5.8,1900,,6950.125,102
1980,4.3,740,,6621.52,89
1980,6.8,599,,2261.507,96
1980,6.5,211,,1175.855,105
1980,4.3,593,,15198.912,97
1980,6.7,230,,,89
1981,8.4,905000,18000000.0,389925.971,115
1981,7.4,32000,,24058.838,113
1981,7.5,97000,10000000.0,30669.378,97
1981,7.2,131000,6000000.0,25244.626,99
1981,7.5,192000,350000.0,2956.63,85
1981,6.2,40000,2500000.0,111289.673,94
1981,7.4,47000,18000000.0,12000.0,108
1981,6.9,42000,15000000.0,41092.328,118
1981,7.4,59000,11000000.0,34971.136,140
1981,7.6,170000,3000000.0,23668.369,96
1981,8.3,237000,,11487.676,149
1981,6.9,68000,10000000.0,85297.0,106
1981,7.4,27000,,1113.538,124
1981,6.2,34000,18000000.0,72179.579,95
1981,7.4,27000,5500000.0,11492.915,123
1981,4.9,7600,,32492.674,116
1981,7.0,60000,5000000.0,42368.025,110
1981,6.8,4200,,50427.646,107
1981,6.1,61000,1250000.0,21722.776,87
1981,6.8,51000,,14225.876,103
1981,6.7,94000,28000000.0,54813.222,127
1981,6.5,77000,2500000.0,25533.818,92
1981,6.8,17000,14000000.0,35856.053,126
1981,7.3,21000,32000000.0,40382.659,195
1981,7.6,29000,,119285.432,109
1981,7.3,87000,12000000.0,63456.988000000005,83
1981,7.2,56000,5500000.0,59303.359000000004,125
1981,6.9,12000,12000000.0,40716.963,116
1981,3.4,5300,6500000.0,36565.28,115
1981,6.7,29000,10000000.0,10853.418,116
1981,6.9,27000,7000000.0,95461.682,97
1981,7.8,19000,,5.073,110
1981,5.8,7300,,15965.924,91
1981,6.6,11000,3000000.0,,94
1981,6.9,47000,11000000.0,31672.907,92
1981,6.6,32000,1000000.0,17985.893,91
1981,6.7,16000,18000000.0,14110.013,109
1981,6.9,5300,3000000.0,1752.634,109
1981,7.3,21000,12500000.0,20962.615,100
1981,5.6,19000,5000000.0,20471.382,108
1981,6.7,15000,5000000.0,19032.261,129
1981,5.2,3400,2800000.0,26279.0,87
1981,6.6,22000,12000000.0,12376.625,122
1981,7.3,9000,,14920.781,155
1981,5.6,5200,2500000.0,8279.042,100
1981,6.0,4500,8500000.0,6400.0,103
1981,7.4,38000,,5732.587,110
1981,6.6,28000,16000000.0,17374.595,109
1981,7.2,17000,,,106
1981,6.4,5700,12000000.0,14867.086000000001,122
1981,6.8,21000,400000.0,123.843,87
1981,6.3,7900,,23371.905,110
1981,6.3,19000,,5672.031,90
1981,5.9,13000,,7886.857,96
1981,6.5,5700,26000000.0,636.796,107
1981,7.0,13000,,26890.068,124
1981,7.2,14000,,31206.251,97
1981,6.3,7500,10000000.0,12850.276,108
1981,6.1,4900,8000000.0,,93
1981,6.4,18000,5000000.0,19905.359,99
1981,6.2,7100,,37000.0,88
1981,6.3,5600,,35610.1,122
1981,5.6,7600,8500000.0,29916.207000000002,94
1981,5.9,1300,,237.0,87
